,Purchase,WeekofPurchase,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff
1,CH,237,1,1.75,1.99,0,0,0,0,0.5,1.99,1.75,0.24
2,CH,239,1,1.75,1.99,0,0.3,0,1,0.6,1.69,1.75,-0.06
3,CH,245,1,1.86,2.09,0.17,0,0,0,0.68,2.09,1.69,0.4
4,MM,227,1,1.69,1.69,0,0,0,0,0.4,1.69,1.69,0
5,CH,228,7,1.69,1.69,0,0,0,0,0.956535,1.69,1.69,0
6,CH,230,7,1.69,1.99,0,0,0,1,0.965228,1.99,1.69,0.3
7,CH,232,7,1.69,1.99,0,0.4,1,1,0.972182,1.59,1.69,-0.1
8,CH,234,7,1.75,1.99,0,0.4,1,0,0.977746,1.59,1.75,-0.16
9,CH,235,7,1.75,1.99,0,0.4,0,0,0.982197,1.59,1.75,-0.16
10,CH,238,7,1.75,1.99,0,0.4,0,0,0.985757,1.59,1.75,-0.16
11,CH,240,7,1.86,2.09,0,0,0,0,0.988606,2.09,1.86,0.23
12,CH,263,7,1.86,2.13,0.27,0,0,0,0.990885,2.13,1.59,0.54
13,CH,276,7,1.99,2.13,0,0.54,0,1,0.992708,1.59,1.99,-0.4
14,CH,268,7,1.86,2.13,0,0,0,0,0.68,2.13,1.86,0.27
15,CH,278,7,2.06,2.13,0,0,0,0,0.744,2.13,2.06,0.07
16,CH,278,7,2.06,2.13,0,0,0,0,0.7952,2.13,2.06,0.07
17,MM,240,1,1.75,1.99,0,0.3,0,1,0.5,1.69,1.75,-0.06
18,MM,268,2,1.86,2.18,0,0,0,1,0.4,2.18,1.86,0.32
19,MM,269,2,1.86,2.18,0,0,0,0,0.32,2.18,1.86,0.32
20,CH,254,7,1.86,2.18,0,0,0,0,0.5,2.18,1.86,0.32
21,CH,257,7,1.86,2.18,0,0,0,0,0.6,2.18,1.86,0.32
22,CH,258,1,1.76,2.18,0,0,0,0,0.68,2.18,1.76,0.42
23,CH,259,7,1.86,2.18,0,0,0,0,0.744,2.18,1.86,0.32
24,CH,264,7,1.86,2.13,0.37,0,1,0,0.7952,2.13,1.49,0.64
